simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_6,cell_7,cell_8,cell_9	mut0	4.540579263574271274532189511E-82	3.187541561835482251821961223E-81	0.1424476881474658871727701548	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_6,cell_7,cell_8,cell_9	mut1	3.784660375893335939544166347E-82	3.187541561835482251821961223E-81	0.1187328950062070633717739509	
simNo_10-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_19,cell_4,cell_5,cell_6,cell_7	mut4	2.014676347751235273342643844E-122	3.296644650152535507268063026E-121	0.06111293638087491006431850829	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_15,cell_16,cell_17,cell_2,cell_3,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	4.420758817448024915962030026E-148	1.742920351225786280550599336E-147	0.2536408972641193612452235374	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_15,cell_16,cell_17,cell_2,cell_3,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	4.455763030409176937719609926E-148	1.742920351225786280550599336E-147	0.2556492628751201021359152205	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_15,cell_16,cell_17,cell_2,cell_3,cell_5,cell_6,cell_7,cell_8,cell_9	mut2	2.323355314858836230667200265E-148	1.742920351225786280550599336E-147	0.1333024376716258570306380736	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut0	4.285879398852679129202218397E-189	2.377156662655446794790304916E-188	0.1802943603247864327448235527	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut1	9.509114107106436572209128714E-193	2.377156662655446794790304916E-188	0.00004000205058628363547049724932	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut2	3.227482488342703324181498590E-189	2.377156662655446794790304916E-188	0.1357707104056568298048331955	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut3	8.473220674074684212320783991E-193	2.377156662655446794790304916E-188	0.00003564435111571282146823592148	
simNo_9-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_14,cell_16,cell_17,cell_18,cell_19,cell_3,cell_4,cell_8,cell_9	mut5	1.049724633049538212557192774E-152	4.366700550636497373586944455E-152	0.2403930887581766152785906365	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	5.749477700319697603007171586E-116	5.749570841524417227972095077E-116	0.9999838003205305441728494945	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	5.749498243016264865927279507E-116	5.749570841524417227972095077E-116	0.9999873732300804013436215886	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut2	5.749498242037943519062208480E-116	5.749570841524417227972095077E-116	0.9999873730599248586378145260	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut3	5.749501178201997646754885570E-116	5.749570841524417227972095077E-116	0.9999878837352665593081880909	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut4	2.906995366031193823539546843E-116	5.749570841524417227972095077E-116	0.5056021477353334425621429769	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut5	4.130453186613137206667520801E-116	5.749570841524417227972095077E-116	0.7183933028152769188936784148	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut6	3.197155969404854585871045800E-116	5.749570841524417227972095077E-116	0.5560686279947068170084688769	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut7	3.487328314826987682735227358E-116	5.749570841524417227972095077E-116	0.6065371505018924162181536117	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut8	3.540091175704997207961255089E-116	5.749570841524417227972095077E-116	0.6157139851443924815619435996	
