simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_6,cell_7,cell_8,cell_9	mut0	0.007700020721721444697287827183	0.01123856821540127702756496421	0.6851424998399151285031940408	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_13,cell_2,cell_3,cell_6,cell_7,cell_8,cell_9	mut1	0.001083789890861711610777310718	0.01123856821540127702756496421	0.09643487231554028627310546200	
simNo_10-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_12,cell_19,cell_4,cell_5,cell_6,cell_7	mut4	2.106022312661118526220247345E-10	3.063888400997794726374933577E-10	0.6873691326274368317761438647	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_15,cell_16,cell_17,cell_2,cell_3,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	8.787011172614303548162885891E-15	1.182302882711248385363428347E-14	0.7432115155182564838071857922	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_15,cell_16,cell_17,cell_2,cell_3,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	8.786769804315606014790037812E-15	1.182302882711248385363428347E-14	0.7431911004197037314580613252	
simNo_7-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_15,cell_16,cell_17,cell_2,cell_3,cell_5,cell_6,cell_7,cell_8,cell_9	mut2	8.787095819999189362497734929E-15	1.182302882711248385363428347E-14	0.7432186750529344084322610751	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut0	1.123891218154044811848926237E-9	1.607459984985905955223798853E-9	0.6991721278610235359141903219	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut1	2.117516483431258272865827343E-10	1.607459984985905955223798853E-9	0.1317305875859687070757252251	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut2	1.222895156533760177350099877E-9	1.607459984985905955223798853E-9	0.7607624251651168766321908838	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_13,cell_14,cell_3,cell_4,cell_5,cell_6,cell_7,cell_9	mut3	2.113888077460579232788123931E-10	1.607459984985905955223798853E-9	0.1315048646439005190722628148	
simNo_9-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_14,cell_16,cell_17,cell_18,cell_19,cell_3,cell_4,cell_8,cell_9	mut5	8.844383875987138651523817164E-14	1.051923113483138395055224846E-13	0.8407823502139358638460306944	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut0	4.757917424779988564958705770E-14	5.174622942163623208629444064E-14	0.9194713272752196050050211891	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut1	4.757886462604181029879858105E-14	5.174622942163623208629444064E-14	0.9194653438101143022571309617	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut2	4.757924305263501314236663781E-14	5.174622942163623208629444064E-14	0.9194726569341318874904916832	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9	mut3	4.758102416284194196527575019E-14	5.174622942163623208629444064E-14	0.9195070770305685971711041820	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut4	4.539120183819038718274961641E-14	5.174622942163623208629444064E-14	0.8771885864057049796139781916	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut5	4.539698144434112588131668144E-14	5.174622942163623220889799169E-14	0.8773002777543372726379390084	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut6	4.539003215599321399114441699E-14	5.174622942163623220889799169E-14	0.8771659822041960629198684675	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut7	4.539488289686972673181888822E-14	5.174622942163623220889799169E-14	0.8772597231575124516042396302	
simNo_2-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_6,cell_9	mut8	4.539257793489294407418460971E-14	5.174622942163623220889799169E-14	0.8772151795839507632132148787	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut0	0.00006613426463106122735235344189	0.00007155592037415137444209993958	0.9242319054140955722241943788	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut1	0.00006609959595750511645244404010	0.00007155592037415137444209993958	0.9237474077879755328594198863	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut2	0.00006612588319349820674186309942	0.00007155592037415137444209993958	0.9241147741198686826004543764	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut3	0.00006601120988865877590393272289	0.00007155592037415137444209993958	0.9225122050488564250909046268	
simNo_4-s_7-m_15-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_5,cell_7,cell_8,cell_9	mut4	0.00006601835315930907324581402801	0.00007155592037415137444209993958	0.9226120328564361002661777302	
simNo_1-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_6,cell_7,cell_9	mut0	0.0002484444823727530656655501788	0.0003484562761650861596304068114	0.7129861028964475533467664729	
simNo_1-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_6,cell_7,cell_9	mut1	0.00004047653588020821021428317221	0.0003484562761650861596304068114	0.1161595834222594707487331595	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_7,cell_8,cell_9	mut0	0.01054954340316106512838417722	0.01219683678145726744085614005	0.8649409344560085903140003497	
simNo_6-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2,cell_3,cell_4,cell_7,cell_8,cell_9	mut1	0.01053579189248638788892399337	0.01219683678145726744085614005	0.8638134691204403118528724755	
simNo_8-s_7-m_12-h_1-minCP_0.10-ISAV_0-n_15-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_2	mut6	0.0007164062079665395375594389872	0.0008430758950176780361172937884	0.8497529252114574746046733960	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_12-fp_0.001-fn_0.1-na_0-d_0-l_1000000	cell_0,cell_10,cell_11,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8	mut4	2.021995384516887431948762792E-11	2.292011714848759081331431184E-11	0.8821924300898745735765196966	
